adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,belongs_to_collection.id,belongs_to_collection.name,belongs_to_collection.poster_path,belongs_to_collection.backdrop_path
False,/h9qApa27FGXOaxK6gczeRE5O6Qi.jpg,,0.0,"[{'id': 37, 'name': 'Western'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",,22383.0,tt0060862,en,The Professionals,An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit.,13.942,/sH4Clw7QrtH23xl9o4sOpHNkRIz.jpg,"[{'id': 5, 'logo_path': '/lieeAioEBVsgsoDT9HICrdt5iRa.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1966-11-01,0.0,117.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,"Rough, tough and ready.",The Professionals,False,7.093,236.0,,,,
False,/2NNoUAucknDefWKbSwrlPPFq2I2.jpg,,0.0,"[{'id': 35, 'name': 'Comedy'}]",,22975.0,tt0079807,en,Richard Pryor: Live in Concert,"Richard Pryor delivers monologues on race, sex, family and his favorite target—himself, live at the Terrace Theatre in Long Beach, California.",8.251,/zguG43yzPkiiNOyR9P1HglVNYOl.jpg,"[{'id': 91274, 'logo_path': None, 'name': 'SEE Theater Network', 'origin_country': ''}, {'id': 3276, 'logo_path': None, 'name': 'Elkins Entertainment', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1979-01-26,0.0,78.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Richard Pryor: Live in Concert,False,7.378,98.0,,,,
False,/ppDnBvf0f7vCZHRLtDjazpYHdTF.jpg,,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",,13368.0,tt0047673,en,White Christmas,Two talented song-and-dance men team up after the war to become one of the hottest acts in show business. In time they befriend and become romantically involved with the beautiful Haynes sisters who comprise a sister act.,12.034,/A5kBQsHKbIptxJyELEpHQJROCRj.jpg,"[{'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1954-10-14,0.0,120.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,THE MOST FABULOUS MUSIC-AND-MIRTH SHOW IN MOTION PICTURE HISTORY!,White Christmas,False,7.176,426.0,,,,
False,/8Tz26ZvhOEHl9HY9PH8lTldrrA6.jpg,,0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",,47324.0,tt0051390,ar,باب الحديد,"Qinawi, a physically challenged peddler who makes his living selling newspapers in the central Cairo train station, is obsessed with Hanuma, an attractive young woman who sells drinks. While she jokes with him about a possible relationship, she is actually in love with Abu Siri, a strong and respected porter at the station who is struggling to unionize his fellow workers to combat their boss' exploitative and abusive treatment.",5.808,/zm8ET6PSfPT6pozgvjR7htaZFjy.jpg,"[{'id': 62478, 'logo_path': None, 'name': 'Al-Ahramm Studios', 'origin_country': ''}]","[{'iso_3166_1': 'EG', 'name': 'Egypt'}]",1958-07-31,0.0,77.0,"[{'english_name': 'Arabic', 'iso_639_1': 'ar', 'name': 'العربية'}]",Released,,Cairo Station,False,7.381,97.0,,,,
False,/ztDkizmVkL2nOQIduKRoqLUYqSc.jpg,,0.0,"[{'id': 99, 'name': 'Documentary'}, {'id': 36, 'name': 'History'}]",,60378.0,tt0191182,de,Hitler - Eine Karriere,"A keen chronicle of the unlikely rise to power of Adolf Hitler (1889-1945) and a dissection of the Third Reich (1933-1945), but also an analysis of mass psychology and how the desperate crowd can be deceived and shepherded to the slaughterhouse.",8.967,/z49ovtYm3jgD5FigV8oMk25jCrq.jpg,"[{'id': 121957, 'logo_path': None, 'name': 'Interart', 'origin_country': ''}, {'id': 121958, 'logo_path': None, 'name': 'Werner Rieb Produktion', 'origin_country': ''}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",1977-07-08,0.0,150.0,"[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,A career unparalleled in history,Hitler: A Career,False,7.408,60.0,,,,
False,/wjJfAMyVFCes4k9HG3sQeOzftGp.jpg,,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 99, 'name': 'Documentary'}, {'id': 10402, 'name': 'Music'}]",,102812.0,tt0068562,en,FTA,"A documentary about a political troupe headed by actors Jane Fonda and Donald Sutherland which traveled to towns near military bases in the US in the early 1970s. The group put on shows called ""F.T.A."", which stood for ""F**k the Army"", and was aimed at convincing soldiers to voice their opposition to the Vietnam War, which was raging at the time. Various singers, actors and other entertainers performed antiwar songs and skits during the show.",1.7,/ri65QOD86us0w8mBCl9kufTB80h.jpg,"[{'id': 53935, 'logo_path': None, 'name': 'Indochina Peace Committee (IPC) Films', 'origin_country': ''}, {'id': 53936, 'logo_path': None, 'name': 'Duque Films', 'origin_country': ''}, {'id': 53937, 'logo_path': None, 'name': 'Free Theater Associates', 'origin_country': ''}, {'id': 9266, 'logo_path': None, 'name': 'American International Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1972-07-21,0.0,97.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The Show The Pentagon Couldn't Stop!,FTA,False,6.1,8.0,,,,
False,/2f9NZUDifPRbGO9NsOed7oQ1tPQ.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}]",,40939.0,tt0077751,ar,إسكندرية ليه,"Amid the poverty, death, and suffering caused by World War II, 18-year-old Yehia, retreats into a private world of fantasy and longing. Obsessed with Hollywood, he dreams of one-day studying filmmaking in America, but after falling in love and discovering the lies of European occupation, Yehia profoundly reevaluates his identity and allegiances.",1.498,/2kTl6bNkKq9GpB4qy7aC2t5ZH3z.jpg,"[{'id': 11574, 'logo_path': None, 'name': 'MISR International Films', 'origin_country': 'EG'}, {'id': 17226, 'logo_path': None, 'name': 'Algerian Television', 'origin_country': ''}]","[{'iso_3166_1': 'DZ', 'name': 'Algeria'}, {'iso_3166_1': 'EG', 'name': 'Egypt'}]",1979-10-06,0.0,133.0,"[{'english_name': 'Arabic', 'iso_639_1': 'ar', 'name': 'العربية'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,A film by Youssef Chahine,Alexandria… Why?,False,6.1,16.0,716025.0,The Alexandria Trilogy,/RpwyP5zMmKBuYJx2gZigM2QEZK.jpg,
False,/qBVsVoNwuSTEdyFNkwAQJZHHdsd.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}]",,123648.0,tt0064038,ar,الأرض,"Set in 1933, the mayor informs the peasants that the share of irrigation of their land will be split equally between them and feudal lord Mahmoud Bey. The peasants send Muhammad Effendi to submit a petition to the government. Mahmoud Bey then proposes a project that would require taking part of the peasants' lands.",3.022,/KE2YplaCYSrVDav4KNkHYE0PJa.jpg,"[{'id': 126143, 'logo_path': None, 'name': 'المؤسسة المصرية العامة للسينما والتلفزيون (والمسرح والموسيقى)', 'origin_country': ''}]","[{'iso_3166_1': 'EG', 'name': 'Egypt'}]",1969-01-27,0.0,129.0,"[{'english_name': 'Arabic', 'iso_639_1': 'ar', 'name': 'العربية'}]",Released,,The Land,False,8.4,25.0,,,,
False,/mdyTdN6lrH8xkNQbT0HglaTcDCR.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}]",,143844.0,tt0080653,hi,दोस्ताना,"Two close friends decide to enter law enforcement, one as a police officer, the other as a lawyer, but their friendship begins to unravel when they both fall in love with the same woman.",4.617,/bnyeLM90ofZMCKes1EN5k2D1odO.jpg,"[{'id': 19146, 'logo_path': '/5Ff25ornzVNhm5skuAvMAR556NB.png', 'name': 'Dharma Productions', 'origin_country': 'IN'}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",1980-10-08,0.0,161.0,"[{'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Friendship,False,5.8,10.0,,,,
False,/2nXZ9S7tYHQAv2nXtNjcITYokjy.jpg,,360000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}, {'id': 36, 'name': 'History'}]",,46800.0,tt0057357,ar,الناصر صلاح الدين,The first Sultan of Egypt and Syria leads the Muslim military campaign against the invading Christians from Europe during the Third Crusade.,9.104,/uDk3uzR7Yp5PjcdPCZwsQHr26JX.jpg,"[{'id': 16132, 'logo_path': None, 'name': 'Lotus Films', 'origin_country': ''}, {'id': 174286, 'logo_path': None, 'name': 'Egyptian General Corporation for Cinema', 'origin_country': ''}]","[{'iso_3166_1': 'EG', 'name': 'Egypt'}]",1963-02-25,0.0,186.0,"[{'english_name': 'Arabic', 'iso_639_1': 'ar', 'name': 'العربية'}]",Released,Saladin,Saladin the Victorious,False,7.458,24.0,,,,
False,/75MVhvcv5l0Sh7TbmZLzAqxkAhC.jpg,,0.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",,14478.0,tt0079749,hi,अलीबाबा और चालीस चोर,"The movie is based on the story of Ali Baba and the Forty Thieves, from the One Thousand and One Nights or Arabian Tales. The role of Ali Baba is played by Dharmendra and Hema Malini play Morjina.",2.895,/hIQJMdnu5qR1PXuN8gNDdyxvwdx.jpg,"[{'id': 14529, 'logo_path': None, 'name': 'Eagle Films', 'origin_country': 'IN'}, {'id': 189675, 'logo_path': '/dcpUQhz4nFOiFFHEcr1TuhlznLM.png', 'name': 'Uzbekfilm', 'origin_country': 'SU'}]","[{'iso_3166_1': 'IN', 'name': 'India'}, {'iso_3166_1': 'SU', 'name': 'Soviet Union'}]",1979-06-01,0.0,138.0,"[{'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Alibaba Aur 40 Chor,False,6.636,11.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,/vWTvTp28oqUcjXfbmwQyVF2R5ZR.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 80, 'name': 'Crime'}]",,309817.0,tt0049761,ar,صراع في الميناء,"Ragab, a poor sailor, returns home to Alexandria after three years of absence, during which he tried to save money to marry his one true love, Hamedah. But there's trouble on the harbor, and with an old friend.",2.935,/dkk8Y9maTh5qWd5gV4dkyTzCKnh.jpg,[],"[{'iso_3166_1': 'EG', 'name': 'Egypt'}]",1956-01-16,0.0,120.0,"[{'english_name': 'Arabic', 'iso_639_1': 'ar', 'name': 'العربية'}]",Released,,Dark Waters,False,5.556,9.0,,,,
False,/6cT5TqkJfjFI1lCntMhRTAHAopQ.jpg,,0.0,"[{'id': 99, 'name': 'Documentary'}]",,408691.0,tt0170799,ar,كلنا للوطن,"After the 1978 Israeli invasion of Lebanon, children try to sing the national anthem as citizens search for hope in the war-torn South.",1.837,/18Imk9ak5T7S1eMSwzt4QuyjhV9.jpg,[],"[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'LB', 'name': 'Lebanon'}]",1979-01-01,0.0,74.0,"[{'english_name': 'Arabic', 'iso_639_1': 'ar', 'name': 'العربية'}]",Released,,We Are All for the Fatherland,False,5.2,4.0,,,,
False,,,0.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",,483768.0,tt0268639,en,Singapore,"When his employee disappears in Singapore, Shyam travels from India to investigate the absence and becomes entangled in a deadly plot.",1.66,/vzn8eADTbiZ3mgnDX25K9ztbveu.jpg,"[{'id': 14529, 'logo_path': None, 'name': 'Eagle Films', 'origin_country': 'IN'}, {'id': 96202, 'logo_path': '/rFyd40K0ZTsCg8jS8um8MuRC7H9.png', 'name': 'Shemaroo Entertainment', 'origin_country': 'IN'}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",1960-01-01,0.0,158.0,[],Released,,Singapore,False,6.3,3.0,,,,
False,/8vaUhf5z3WqIzlyHeVURiQSHaio.jpg,,0.0,"[{'id': 35, 'name': 'Comedy'}]",,46740.0,tt0202477,en,Monty Python's Fliegender Zirkus,"Fliegender Zirkus consisted of two 45-minute Monty Python television comedy specials produced by WDR for West German television. The two episodes were first broadcast in January and December 1972 respectively and were shot entirely on film, mostly on location in Bavaria. The first episode was recorded in German and the second was recorded in English and then dubbed into German.",2.302,/epSEFaWLx1LtPuwXYBZfIQjhxwm.jpg,"[{'id': 3391, 'logo_path': '/t0QBs2fI3mE3HxgoH1n39bYuzNu.png', 'name': 'ORF', 'origin_country': 'AT'}, {'id': 416, 'logo_path': None, 'name': 'Python (Monty) Pictures Limited', 'origin_country': ''}, {'id': 46, 'logo_path': '/3xFdKHLXPGHEbrAkmsepGE8974Y.png', 'name': 'WDR', 'origin_country': 'DE'}, {'id': 1704, 'logo_path': '/sb3PuMTgJgpPUY7x634etBAhodu.png', 'name': 'Bavaria Film', 'origin_country': 'DE'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1971-01-01,0.0,90.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Monty Python's Fliegender Zirkus,False,7.8,22.0,,,,
False,,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",,329172.0,tt0169599,ar,بيروت يا بيروت,"In the aftermath of the 1967 defeat, four young Lebanese try to figure out their places in a society whose rules seem to have changed. It proved to be an extraordinary anticipation of the civil war that would engulf the country while the film was being edited.",1.4,/9FeiXJ5BXHHXrezv2yWK8ZVQGlt.jpg,[],"[{'iso_3166_1': 'LB', 'name': 'Lebanon'}]",1975-01-02,0.0,110.0,"[{'english_name': 'Arabic', 'iso_639_1': 'ar', 'name': 'العربية'}]",Released,,"Beirut, Oh Beirut",False,7.2,4.0,,,,
False,/oMSciZ7wjo3fGRmVZJjPzWkKsbB.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",,115233.0,tt0074168,ar,عودة الابن الضال,"Freed after spending years in prison, an activist's homecoming turns into a dark affair as his disillusion clashes with his family's expectations. Demonstrating Chahine’s eclecticism, this is an elegant melodrama, exuberant musical, layered allegory, and profound portrait of personal and political disillusionment.",3.298,/qbmTDzF156mbhDnsNnmEMb1lWFu.jpg,"[{'id': 139395, 'logo_path': '/iMxqDt5FiNhGldhQ0cl05psORHO.png', 'name': ""Office National pour le Commerce et l'Industrie Cinématographique (ONCIC)"", 'origin_country': 'DZ'}, {'id': 11574, 'logo_path': None, 'name': 'MISR International Films', 'origin_country': 'EG'}]","[{'iso_3166_1': 'DZ', 'name': 'Algeria'}, {'iso_3166_1': 'EG', 'name': 'Egypt'}]",1976-09-24,0.0,124.0,"[{'english_name': 'Arabic', 'iso_639_1': 'ar', 'name': 'العربية'}]",Released,,Return of the Prodigal Son,False,5.679,14.0,,,,
False,,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",,464441.0,tt0230412,hi,Khoon Khoon,"As a crazed killer blazes a trail of blood through an anxious city, a hardened cop aims to take him down by any means in this remake of Dirty Harry.",1.417,/9SpYNVw9cp3oYYX3FjUD6pB4iuu.jpg,"[{'id': 4470, 'logo_path': None, 'name': 'United Producers', 'origin_country': 'IN'}, {'id': 14529, 'logo_path': None, 'name': 'Eagle Films', 'origin_country': 'IN'}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",1973-01-01,0.0,131.0,"[{'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Khoon Khoon,False,3.8,4.0,,,,
