adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,belongs_to_collection.id,belongs_to_collection.name,belongs_to_collection.poster_path,belongs_to_collection.backdrop_path
False,/orjyEE9ZcMefTsN8zT5ryQTdkIz.jpg,,1300000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",,103.0,tt0075314,en,Taxi Driver,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,49.645,/ekstpH614fwDX8DUln1a2Opz0N8.jpg,"[{'id': 46059, 'logo_path': None, 'name': 'Italo/Judeo Productions', 'origin_country': ''}, {'id': 46060, 'logo_path': None, 'name': 'Bill/Phillips', 'origin_country': ''}, {'id': 5, 'logo_path': '/lieeAioEBVsgsoDT9HICrdt5iRa.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1976-02-09,28570902.0,114.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,"On every street in every city, there's a nobody who dreams of being a somebody.",Taxi Driver,False,8.2,10564.0,,,,
False,/jOaxen3pkKtD6vJm8sdHY6uVY3A.jpg,,2000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",http://www.warnerbros.com/deliverance,10669.0,tt0068473,en,Deliverance,"Intent on seeing the Cahulawassee River before it's turned into one huge lake, outdoor fanatic Lewis Medlock takes his friends on a river-rafting trip they'll never forget into the dangerous American back-country.",16.623,/2TrAzNJlHyNYYSkQf6asg3rs2Xr.jpg,"[{'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 12282, 'logo_path': None, 'name': 'Elmer Enterprises', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1972-08-18,46122355.0,109.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,What did happen on the Cahulawassee River?,Deliverance,False,7.317,1340.0,,,,
False,/nWkxOXpctN2NuToGzwCSdFdiht0.jpg,,400000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",https://www.sonypictures.com/movies/montypythonandtheholygrail,762.0,tt0071853,en,Monty Python and the Holy Grail,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".",27.025,/xZ0rC0kuIsjk6RncpNK73kwstEP.jpg,"[{'id': 416, 'logo_path': None, 'name': 'Python (Monty) Pictures Limited', 'origin_country': ''}, {'id': 463, 'logo_path': None, 'name': 'Michael White Productions', 'origin_country': 'GB'}, {'id': 464, 'logo_path': None, 'name': 'National Film Trustee Company', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1975-05-25,1940906.0,91.0,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Latin', 'iso_639_1': 'la', 'name': 'Latin'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,And now! At Last! Another film completely different from some of the other films which aren't quite the same as this one is.,Monty Python and the Holy Grail,False,7.804,5076.0,,,,
False,/ccegwWa7I2vxxaoXrGB8Wl1g5nl.jpg,,5400000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 10752, 'name': 'War'}]",,1654.0,tt0061578,en,The Dirty Dozen,"12 American military prisoners in World War II are ordered to infiltrate a well-guarded enemy château and kill the Nazi officers vacationing there. The soldiers, most of whom are facing death sentences for a variety of violent crimes, agree to the mission and the possible commuting of their sentences.",21.143,/iFpgjfE4gt7guOLvrqgZZoO4Rjk.jpg,"[{'id': 14159, 'logo_path': None, 'name': 'Seven Arts Pictures', 'origin_country': ''}, {'id': 79298, 'logo_path': None, 'name': 'MKH', 'origin_country': ''}, {'id': 21, 'logo_path': '/5Va1Ie5c4sjfEYqixQ3L8qg7fKu.png', 'name': 'Metro-Goldwyn-Mayer', 'origin_country': 'US'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1967-06-15,45300000.0,150.0,"[{'english_name': 'Latin', 'iso_639_1': 'la', 'name': 'Latin'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,Train them! Excite them! Arm them!...Then turn them loose on the Nazis!,The Dirty Dozen,False,7.611,1025.0,124492.0,The Dirty Dozen Collection,/3tNe3I17eUjQkHYz7XButEBlupJ.jpg,/z5Wj3wkksrRjyjhZ2flr00gSjTR.jpg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,/gbLeMznYBlI7rsyg766oBwkdo2w.jpg,,4000000.0,"[{'id': 35, 'name': 'Comedy'}]",,583.0,tt0079470,en,Life of Brian,"Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs.",22.461,/lSSA64WF0M0BXnjwr2quMh6shCl.jpg,"[{'id': 20076, 'logo_path': '/i9qXGJIP9fGN22PP5jXUVENbyHi.png', 'name': 'HandMade Films', 'origin_country': 'GB'}, {'id': 416, 'logo_path': None, 'name': 'Python (Monty) Pictures Limited', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1979-08-17,20745728.0,94.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Latin', 'iso_639_1': 'la', 'name': 'Latin'}]",Released,He wasn't the messiah. He was a very naughty boy.,Life of Brian,False,7.755,3832.0,,,,
False,/ezrb56YdkoG59fZj50IxE9OnADx.jpg,,4000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",http://www.warnerbros.com/dirty-harry/,984.0,tt0066999,en,Dirty Harry,"When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan – famous for his take-no-prisoners approach to law enforcement – is tasked with hunting down the psychopath. Harry eventually collars Scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. Now, the maverick detective is determined to nail the maniac himself.",19.437,/UHxxkYe9tRdiPu0JFgcEL5hmQ4.jpg,"[{'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 171, 'logo_path': None, 'name': 'Malpaso Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1971-12-23,35976000.0,102.0,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Detective Harry Callahan. He doesn't break murder cases. He smashes them.,Dirty Harry,False,7.485,2091.0,10456.0,Dirty Harry Collection,/4ouguZ9x4yaKwl1cgWTGNUHuA6M.jpg,/nlpixhOhb3JmFqVXKjCwpYFpldf.jpg
False,/fyzSiE8IWezmd3ls1amHNeOkrEf.jpg,,2500000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",,475.0,tt0061418,en,Bonnie and Clyde,"In the 1930s, bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",22.822,/sCSQFK9kMsprT4jgWqgw82dT6WI.jpg,"[{'id': 273, 'logo_path': None, 'name': 'Tatira-Hiller Productions', 'origin_country': ''}, {'id': 4051, 'logo_path': '/cr7fvW3IZ1xQmlHTk0CHqoa038b.png', 'name': 'Warner Bros-Seven Arts', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1967-07-18,50700000.0,110.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,They’re young… they’re in love… and they kill people.,Bonnie and Clyde,False,7.496,1376.0,,,,
False,/kMvC3UMjhWQrpeOrOOH36NlC5dL.jpg,,4500000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 12, 'name': 'Adventure'}]",,5689.0,tt0080453,en,The Blue Lagoon,"Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline and Richard make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?",23.896,/k6KsThCeoxxHDbVnlHLdTlf5wsy.jpg,"[{'id': 5, 'logo_path': '/lieeAioEBVsgsoDT9HICrdt5iRa.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1980-07-05,58853106.0,104.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,A sensuous story of natural love.,The Blue Lagoon,False,6.158,1600.0,59586.0,The Blue Lagoon Collection,/cz7ft80hlqLoWdmNTqBgnqJBNAy.jpg,/r0VixB5ntXnBea7Q5WM6A7oP6sR.jpg
False,/AsBJ7JjNR7wcONrfkUW027C8D5c.jpg,,6000000.0,"[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}]",,10911.0,tt0054953,en,The Guns of Navarone,"A team of allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.",13.777,/j6VSFnm20GlkUi8yb7hM5Qfc1fA.jpg,"[{'id': 18705, 'logo_path': None, 'name': 'Highroad Productions', 'origin_country': ''}, {'id': 5, 'logo_path': '/lieeAioEBVsgsoDT9HICrdt5iRa.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1961-04-27,28900000.0,158.0,"[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}, {'english_name': 'Greek', 'iso_639_1': 'el', 'name': 'ελληνικά'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The Greatest High Adventure Ever Filmed!,The Guns of Navarone,False,7.318,666.0,366826.0,Navarone Collection,/thS5HHqTi2sFq2Qfk22LhGufHkg.jpg,/v7TraexqaBQi4csVwunWD1tmLm5.jpg
