,0
0,tt2439542
1,tt2998818
2,tt11667844
3,tt9317796
4,tt17160250
5,tt1597751
6,tt2252193
7,tt3537632
8,tt13633006
9,tt16971798
10,tt1312299
11,tt2210973
12,tt2903456
13,tt8673942
14,tt24214648
15,tt4331206
16,tt0228334
17,tt0486052
18,tt5395570
19,tt16043252
20,tt0419168
21,tt23025186
22,tt0596691
23,tt11907716
24,tt8869700
25,tt10154192
26,tt14051940
27,tt13535078
28,tt14982268
29,tt16340902
30,tt9579872
31,tt1946091
32,tt0205094
33,tt8671818
34,tt0372190
35,tt1546768
36,tt12108314
37,tt7028432
38,tt2138962
39,tt8651994
40,tt14025318
41,tt11811156
42,tt9258844
43,tt2971052
44,tt5752692
45,tt5451712
46,tt21277546
47,tt5677608
48,tt1206850
49,tt5111116
50,tt6062180
51,tt7377510
52,tt11712996
53,tt0069465
54,tt11897778
55,tt13258130
56,tt4545938
57,tt2050953
58,tt13394244
59,tt4104674
60,tt2036612
61,tt15763562
62,tt6512842
63,tt9792024
64,tt5507508
65,tt6128586
66,tt22264752
67,tt15152676
68,tt7099280
69,tt0155645
70,tt17899870
71,tt12194300
72,tt1265600
73,tt11430626
74,tt19848258
75,tt8022558
76,tt3392200
77,tt1476382
78,tt21070410
79,tt10853128
80,tt19845708
81,tt20423976
82,tt4148462
83,tt8150100
84,tt9661974
85,tt20924290
86,tt12175198
87,tt5110060
88,tt14829902
89,tt1766255
90,tt10569114
91,tt21831372
92,tt14874168
93,tt0035916
94,tt8642912
95,tt3163070
96,tt21917834
97,tt13134692
98,tt8988132
99,tt13018746
100,tt11134418
101,tt15211024
102,tt10882712
103,tt0834935
104,tt23622448
105,tt0053771
106,tt0480504
107,tt2298804
108,tt12069464
109,tt5994416
110,tt22797196
111,tt11901266
112,tt0130924
113,tt11370456
114,tt2266084
115,tt12108110
116,tt22890556
117,tt4243238
118,tt26740207
119,tt21435298
120,tt10638784
121,tt1962032
122,tt0210559
123,tt5207670
124,tt6055370
125,tt13111848
126,tt18557552
127,tt2293916
128,tt1578865
129,tt14002212
130,tt2743756
131,tt5035774
132,tt9512150
133,tt15799638
134,tt18225144
135,tt11823922
136,tt23391390
137,tt6495988
138,tt2356390
139,tt7032374
140,tt5991850
141,tt12621276
142,tt10970244
143,tt11253944
144,tt27031305
145,tt12415288
146,tt2573344
147,tt4782626
148,tt7189952
149,tt7648704
150,tt12419630
151,tt15852436
152,tt4938020
153,tt20835302
154,tt1138205
155,tt7969778
156,tt5202850
157,tt3500344
158,tt10620672
159,tt2229861
160,tt9325990
161,tt12768268
162,tt27556811
163,tt1502895
164,tt24634286
165,tt23462304
166,tt10725656
167,tt13804666
168,tt8924730
169,tt1495438
170,tt7890460
171,tt14896196
172,tt6683078
173,tt27428323
174,tt5414664
175,tt7688518
176,tt2177450
177,tt9642812
178,tt2243297
179,tt0938006
180,tt7187026
181,tt9841440
182,tt4884802
183,tt18286486
184,tt5112372
185,tt2044693
186,tt26423976
187,tt1426493
188,tt5786014
189,tt13501722
190,tt25415290
191,tt21858612
192,tt21958534
193,tt14634342
194,tt13789942
195,tt6194844
196,tt13911578
197,tt1984416
198,tt1682478
199,tt15689546
200,tt23634742
201,tt6714978
202,tt1805365
203,tt16711882
204,tt1103218
205,tt13624212
206,tt12140426
207,tt20253704
208,tt7070814
209,tt1428847
210,tt2954808
211,tt4514172
212,tt26544273
213,tt18686182
214,tt12455342
215,tt0159649
216,tt10807908
217,tt13591562
218,tt0587490
219,tt15973222
220,tt2822900
221,tt13783914
222,tt1150105
223,tt1714394
224,tt15422342
225,tt16966016
226,tt2199733
227,tt3194980
228,tt10413746
229,tt7314826
230,tt7081530
231,tt7824200
232,tt14133544
233,tt8548924
234,tt1978444
235,tt13782180
236,tt1755543
237,tt13513120
238,tt27411851
239,tt21422422
240,tt19866494
241,tt11353690
242,tt16309138
243,tt11167662
244,tt14770734
245,tt0927431
246,tt13083268
247,tt27009075
248,tt3109544
249,tt5901340
250,tt11208064
251,tt4079762
252,tt25305452
253,tt21446020
254,tt21138564
255,tt3688118
256,tt26684336
257,tt11348994
258,tt9420218
259,tt4229748
260,tt26156736
261,tt10347278
262,tt25624066
263,tt5780596
264,tt1290710
265,tt13828686
266,tt7437704
267,tt0202631
268,tt5706332
269,tt1328082
270,tt1981748
271,tt20494904
272,tt2450968
273,tt4772946
274,tt8492206
275,tt0533669
276,tt9198750
277,tt12202928
278,tt0228561
279,tt5875710
280,tt23636472
281,tt2426024
282,tt9090004
283,tt7247368
284,tt6712330
285,tt17542628
286,tt4538828
287,tt24756000
288,tt24990574
289,tt15525892
290,tt1283457
291,tt0083046
292,tt1713850
293,tt12878718
294,tt19268222
295,tt5583580
296,tt14822544
297,tt15480952
298,tt11189898
299,tt5624498
300,tt5750986
301,tt1410877
302,tt4847374
303,tt1706578
304,tt5322442
305,tt4317950
306,tt14269884
307,tt15891484
308,tt1258293
309,tt1948809
310,tt25811228
311,tt13932894
312,tt26226556
313,tt1035856
314,tt1376847
315,tt3904762
316,tt15369062
317,tt0978769
318,tt2290111
319,tt2332781
320,tt7336560
321,tt13750276
322,tt23149786
323,tt2579718
324,tt9165820
325,tt2069193
326,tt5876166
327,tt4236076
328,tt5321932
329,tt9204074
330,tt1511576
331,tt15098234
332,tt0983953
333,tt1856889
334,tt1790610
335,tt5461560
336,tt5003226
337,tt6772320
338,tt21256158
339,tt10828762
340,tt0294030
341,tt1302877
342,tt1458469
343,tt11960992
344,tt15013258
345,tt14833738
346,tt13053672
347,tt10059512
348,tt4662752
349,tt22893532
350,tt19514286
351,tt21903030
352,tt5435424
353,tt21082388
354,tt16897554
355,tt4593214
356,tt12479166
357,tt1604232
358,tt10428570
359,tt2080440
360,tt7691468
361,tt3815800
362,tt12000856
363,tt14614060
364,tt20562164
365,tt8817666
366,tt2316778
367,tt0538787
368,tt1688129
369,tt17045572
370,tt4307648
371,tt1562429
372,tt0405289
373,tt15892438
374,tt7565500
375,tt16816072
376,tt27442356
377,tt22875182
378,tt0222421
379,tt10414410
380,tt14296974
381,tt12053900
382,tt5111130
383,tt11494500
384,tt1501422
385,tt10760508
386,tt1918933
387,tt11598576
388,tt2612190
389,tt17682958
390,tt9257936
391,tt7627248
392,tt4450412
393,tt0673503
394,tt8536376
395,tt0996211
396,tt0017022
397,tt14930212
398,tt1742341
399,tt5149544
400,tt1259873
401,tt3428228
402,tt14980988
403,tt16442248
404,tt2231830
405,tt1790123
406,tt0193552
407,tt14787586
408,tt2378550
409,tt9189582
410,tt14191904
411,tt5824434
412,tt1937852
413,tt7008486
414,tt12658196
415,tt0923618
416,tt14994096
417,tt9800400
418,tt15430390
419,tt12417290
420,tt1477116
421,tt21070452
422,tt1450489
423,tt13730390
424,tt11693890
425,tt0072573
426,tt0324212
427,tt5586812
428,tt13793712
429,tt2377880
430,tt6625962
431,tt25390050
432,tt0536107
433,tt26548337
434,tt25503808
435,tt22048234
436,tt8949328
437,tt20693212
438,tt7616214
439,tt18565356
440,tt15734696
441,tt11574230
442,tt12349166
443,tt0140093
444,tt5523348
445,tt21339388
446,tt14233734
447,tt2555990
448,tt15132466
449,tt10425328
450,tt18314414
451,tt14214142
452,tt26596253
453,tt7324486
454,tt18940358
455,tt16910542
456,tt4455348
457,tt3756426
458,tt10237552
459,tt1077617
460,tt14560448
461,tt13323882
462,tt7312732
463,tt15780658
464,tt1834486
465,tt20257550
466,tt13305344
467,tt10522746
468,tt8433320
469,tt4104680
470,tt7727354
471,tt14826038
472,tt15497934
473,tt2124922
474,tt1043791
475,tt15407414
476,tt11373658
477,tt1000108
478,tt11140460
479,tt2095473
480,tt1389262
481,tt11884382
482,tt4287050
483,tt0294847
484,tt21381328
485,tt1634216
486,tt7328132
487,tt0410905
488,tt3666230
489,tt10018430
490,tt17496856
491,tt1014123
492,tt16285360
493,tt4185870
494,tt2648676
495,tt7927204
496,tt9378978
497,tt21147214
498,tt2023241
499,tt2084843
500,tt0531905
501,tt7276348
502,tt1282448
503,tt4598996
504,tt0495533
505,tt13263892
506,tt19094396
507,tt2757224
508,tt5203064
509,tt5936212
510,tt24679000
511,tt10742370
512,tt7690098
513,tt15569902
514,tt8679560
515,tt23558928
516,tt2147796
517,tt2757366
518,tt16967020
519,tt1164522
520,tt0427836
521,tt26490591
522,tt1251711
523,tt26758700
524,tt9840338
525,tt12717190
526,tt1449087
527,tt7387688
528,tt3906800
529,tt6599834
530,tt9497798
531,tt8212744
532,tt13392592
533,tt0796788
534,tt18083554
535,tt9400518
536,tt11710720
537,tt16285328
538,tt1554537
539,tt0328807
540,tt6332280
541,tt4692458
542,tt2098789
543,tt0197422
544,tt11662686
545,tt9074724
546,tt17219998
547,tt2357636
548,tt1342653
549,tt1604480
550,tt11825484
551,tt11187388
552,tt26688130
553,tt16148378
554,tt3274440
555,tt16320744
556,tt11690176
557,tt1928454
558,tt0582327
559,tt8313982
560,tt15377912
561,tt5405220
562,tt9823396
563,tt11236478
564,tt4167164
565,tt2029032
566,tt14714448
567,tt0500887
568,tt10159628
569,tt21285592
570,tt1911650
571,tt3624952
572,tt10176190
573,tt10828254
574,tt0195305
575,tt9666710
576,tt1569198
577,tt11152392
578,tt11356066
579,tt2366404
580,tt7629590
581,tt13509580
582,tt13177284
583,tt11246052
584,tt11922370
585,tt1267273
586,tt7672974
587,tt1329540
588,tt0477110
589,tt5652596
590,tt8549602
591,tt1158479
592,tt8517212
593,tt8950036
594,tt4718034
595,tt0401392
596,tt1120632
597,tt12377024
598,tt6942352
599,tt14762556
600,tt2049225
601,tt19405556
602,tt0423170
603,tt19715116
604,tt0096745
605,tt0304240
606,tt7124456
607,tt1321199
608,tt15452690
609,tt10705712
610,tt8490152
611,tt13177242
612,tt4996960
613,tt2194769
614,tt15424340
615,tt14464886
616,tt11427782
617,tt9659480
618,tt11325448
619,tt2450000
620,tt10075598
621,tt3907168
622,tt4619512
623,tt0472932
624,tt19119076
625,tt11859032
626,tt5848544
627,tt3772448
628,tt10033200
629,tt6697648
630,tt11303454
631,tt18288360
632,tt0166424
633,tt4821324
634,tt1522366
635,tt1181487
636,tt5723042
637,tt1079621
638,tt8106888
639,tt6977374
640,tt4192730
641,tt13301536
642,tt9088924
643,tt14983618
644,tt21607304
645,tt9206850
646,tt15680534
647,tt7515814
648,tt5455256
649,tt1020059
650,tt13208444
651,tt10338174
652,tt12796784
653,tt10300908
654,tt1542942
655,tt11457706
656,tt10479514
657,tt9796724
658,tt10523060
659,tt6070904
660,tt17663232
661,tt10330914
662,tt11384916
663,tt24243598
664,tt3657998
665,tt23935024
666,tt8078280
667,tt27117521
668,tt7605862
669,tt7864674
670,tt12075420
671,tt7656212
672,tt2063459
673,tt11587616
674,tt9545532
675,tt11514728
676,tt0684873
677,tt0814461
678,tt15890460
679,tt7617712
680,tt7280618
681,tt27210879
682,tt14043540
683,tt10414202
684,tt0765108
685,tt1230750
686,tt1826478
687,tt6019688
688,tt5852688
689,tt9732280
690,tt0164532
691,tt1536459
692,tt9508380
693,tt0415114
694,tt1329707
695,tt10344360
696,tt13205134
697,tt6085616
698,tt14388924
699,tt2784058
700,tt9437032
701,tt4391438
702,tt15942622
703,tt1824669
704,tt15062324
705,tt0842610
706,tt1241210
707,tt13485770
708,tt3909440
709,tt6824604
710,tt16479176
711,tt5031330
712,tt27171417
713,tt1978799
714,tt5848184
715,tt18284416
716,tt11406540
717,tt6271200
718,tt4529082
719,tt1265644
720,tt8828898
721,tt1015192
722,tt23054630
723,tt13206818
724,tt10202210
725,tt1282966
726,tt11140878
727,tt4867424
728,tt0856002
729,tt4533624
730,tt14832934
731,tt8160980
732,tt8448858
733,tt12904806
734,tt1623751
735,tt14738328
736,tt13676678
737,tt23549596
738,tt0288824
739,tt7042260
740,tt0671663
741,tt1754309
742,tt1201282
743,tt24242404
744,tt4740356
745,tt0970840
746,tt0480258
747,tt14406898
748,tt0266143
749,tt16748232
750,tt1617039
751,tt10871304
752,tt12678490
753,tt3085148
754,tt1364610
755,tt8849688
756,tt5082580
757,tt2398425
758,tt14530064
759,tt12059822
760,tt14426366
761,tt12432940
762,tt0599989
763,tt15959312
764,tt16753546
765,tt7704414
766,tt11302772
767,tt27390025
768,tt26424450
769,tt14676614
770,tt2154627
771,tt11146150
772,tt10317318
773,tt14698552
774,tt9616002
775,tt5858518
776,tt2066255
777,tt15279088
778,tt26423666
779,tt12257632
780,tt21974194
781,tt27427409
782,tt2590334
783,tt0101987
784,tt6486456
785,tt0846336
786,tt8990822
787,tt4355036
788,tt1689546
789,tt1865750
790,tt6633850
791,tt15295662
792,tt2567404
793,tt0834847
794,tt2676724
795,tt11533350
796,tt14159632
797,tt7939668
798,tt1340269
799,tt3413820
800,tt13122258
801,tt1668096
802,tt9523552
803,tt0963652
804,tt2810628
805,tt7353518
806,tt21898188
807,tt2256496
808,tt10741798
809,tt9442984
810,tt5956090
811,tt26684543
812,tt4275156
813,tt13275130
814,tt7280922
815,tt9510756
816,tt0762255
817,tt13066020
818,tt8277746
819,tt21446646
820,tt15433352
821,tt1773406
822,tt16151260
823,tt1844235
824,tt2429652
825,tt19398810
826,tt14027932
827,tt2325696
828,tt1971886
829,tt3941714
830,tt0539791
831,tt5806518
832,tt12797964
833,tt26910777
834,tt0391262
835,tt1963016
836,tt0025384
837,tt1047611
838,tt0598799
839,tt3654592
840,tt9485068
841,tt1249156
842,tt6442032
843,tt2290397
844,tt15885206
