,0
845,tt21327102
846,tt13713860
847,tt2108997
848,tt13350924
849,tt3239356
850,tt2430152
851,tt2156807
852,tt1506818
853,tt10816130
854,tt5923788
855,tt12259392
856,tt4993966
857,tt0893922
858,tt15245010
859,tt11479446
860,tt8785298
861,tt2298875
862,tt5298920
863,tt14484102
864,tt7474182
865,tt13069010
866,tt1596734
867,tt27577605
868,tt1250041
869,tt2542146
870,tt0341507
871,tt6631128
872,tt2688236
873,tt13412464
874,tt1381897
875,tt8624718
876,tt2055570
877,tt10123440
878,tt9575614
879,tt9140720
880,tt11277904
881,tt3758420
882,tt7348270
883,tt19298040
884,tt21993728
885,tt7407360
886,tt8418064
887,tt2685100
888,tt1418180
889,tt13499104
890,tt9898196
891,tt23791646
892,tt8832234
893,tt9572862
894,tt3759112
895,tt0264976
896,tt15199334
897,tt8162856
898,tt4744994
899,tt20250720
900,tt1278079
901,tt11013546
902,tt18162232
903,tt1609526
904,tt1639572
905,tt9373270
906,tt4973218
907,tt7091830
908,tt0469356
909,tt12261856
910,tt1761997
911,tt8878586
912,tt14063312
913,tt4389652
914,tt4083002
915,tt10976960
916,tt13112314
917,tt6323556
918,tt5661722
919,tt4592558
920,tt2036069
921,tt21077764
922,tt13017680
923,tt2808878
924,tt14068358
925,tt27095226
926,tt12925714
927,tt11715750
928,tt10016076
929,tt13192308
930,tt1095674
931,tt11976386
932,tt19050540
933,tt19117412
934,tt1807982
935,tt10372546
936,tt2108356
937,tt8000920
938,tt3120200
939,tt6739052
940,tt15129588
941,tt18213424
942,tt5291886
943,tt2842514
944,tt9795804
945,tt10704168
946,tt6995112
947,tt1804792
948,tt27252779
949,tt18343132
950,tt3057190
951,tt19357532
952,tt1338050
953,tt3787992
954,tt2253690
955,tt3407138
956,tt18814870
957,tt2155402
958,tt16070844
959,tt10352088
960,tt13561930
961,tt2522382
962,tt14413796
963,tt15302734
964,tt1823176
965,tt14120324
966,tt4119688
967,tt11850476
968,tt15110054
969,tt0561474
970,tt2354373
971,tt21079216
972,tt14124290
973,tt5023848
974,tt12375400
975,tt2093046
976,tt6664704
977,tt2774312
978,tt0180657
979,tt6010000
980,tt0515489
981,tt10349072
982,tt8044036
983,tt2255701
984,tt8806212
985,tt5057516
986,tt1529967
987,tt16195226
988,tt21208576
989,tt14359424
990,tt0133905
991,tt11573304
992,tt26773494
993,tt12104872
994,tt14708674
995,tt27376849
996,tt8565974
997,tt10434692
998,tt1008962
999,tt9751714
1000,tt8153792
1001,tt11634718
1002,tt6258484
1003,tt15359268
1004,tt26596948
1005,tt14472022
1006,tt17047428
1007,tt23637876
1008,tt0740010
1009,tt9820938
1010,tt3167702
1011,tt14730810
1012,tt13796012
1013,tt11435636
1014,tt22088552
1015,tt24021846
1016,tt7783968
1017,tt15828184
1018,tt22326736
1019,tt22812936
1020,tt8624792
1021,tt10952778
1022,tt3411188
1023,tt20851066
1024,tt25274640
1025,tt8802304
1026,tt18070792
1027,tt25381084
1028,tt5285268
1029,tt13408208
1030,tt1900376
1031,tt7168016
1032,tt10232560
1033,tt10180788
1034,tt11748406
1035,tt1589037
1036,tt12127670
1037,tt7257632
1038,tt12832820
1039,tt1043731
1040,tt10968470
1041,tt6330078
1042,tt1792058
1043,tt0191960
1044,tt11060362
1045,tt17068376
1046,tt6868544
1047,tt8993554
1048,tt26765056
1049,tt22462616
1050,tt0393507
1051,tt2772392
1052,tt21337178
1053,tt13661642
1054,tt2029953
1055,tt16644694
1056,tt22057922
1057,tt6755016
1058,tt12438418
1059,tt5902062
1060,tt5292262
1061,tt8138536
1062,tt1713838
1063,tt14657844
1064,tt1948013
1065,tt3200326
1066,tt1139099
1067,tt10365204
1068,tt17351980
1069,tt10339090
1070,tt0781783
1071,tt1975471
1072,tt13344674
1073,tt1706635
1074,tt9354526
1075,tt12108412
1076,tt10630200
1077,tt0197799
1078,tt12983786
1079,tt11732132
1080,tt4679944
1081,tt5194778
1082,tt1693796
1083,tt20248110
1084,tt3510896
1085,tt23767218
1086,tt0664115
1087,tt3169168
1088,tt17158704
1089,tt9863170
1090,tt21029660
1091,tt7401342
1092,tt4293564
1093,tt16138318
1094,tt0141317
1095,tt1257447
1096,tt12536672
1097,tt2531344
1098,tt26842532
1099,tt2393472
1100,tt2027046
1101,tt13325616
1102,tt0641665
1103,tt16238762
1104,tt14661438
1105,tt18249206
1106,tt12704876
1107,tt11825360
1108,tt8515672
1109,tt12960642
1110,tt12549044
1111,tt8613596
1112,tt21890190
1113,tt0744676
1114,tt0837276
1115,tt0448602
1116,tt6358228
1117,tt2123944
1118,tt0858471
1119,tt13193810
1120,tt7988596
1121,tt14659096
1122,tt4574296
1123,tt0366917
1124,tt1399997
1125,tt11515278
1126,tt1140760
1127,tt12253006
1128,tt0696972
1129,tt1577300
1130,tt12459376
1131,tt3211068
1132,tt13827840
1133,tt0050136
1134,tt1855989
1135,tt10040828
1136,tt8397962
1137,tt27027744
1138,tt13199042
1139,tt0663795
1140,tt15889252
1141,tt26748455
1142,tt11605706
1143,tt6663154
1144,tt21062016
1145,tt22025038
1146,tt2193487
1147,tt2321754
1148,tt9569208
1149,tt0710199
1150,tt14042444
1151,tt1823079
1152,tt13726088
1153,tt10901012
1154,tt0854521
1155,tt0015600
1156,tt8933084
1157,tt21414260
1158,tt27163776
1159,tt8695030
1160,tt10538040
1161,tt0444570
1162,tt1536450
1163,tt10435496
1164,tt0999176
1165,tt4775622
1166,tt11732092
1167,tt11245018
1168,tt2034351
1169,tt7111028
1170,tt9238232
1171,tt3678692
1172,tt6893618
1173,tt7212306
1174,tt14505268
1175,tt8454338
1176,tt9639632
1177,tt8332990
1178,tt8978664
1179,tt13339276
1180,tt22523076
1181,tt6711382
1182,tt4773232
1183,tt14995042
1184,tt16166346
1185,tt7828050
1186,tt7855194
1187,tt11481904
1188,tt27435035
1189,tt25012310
1190,tt1713513
1191,tt1435437
1192,tt1213716
1193,tt1529225
1194,tt21353652
1195,tt24415462
1196,tt0047541
1197,tt10841130
1198,tt1949330
1199,tt16460194
1200,tt12692664
1201,tt2155243
1202,tt1979254
1203,tt14139854
1204,tt9656892
1205,tt26344543
1206,tt19371092
1207,tt1752085
1208,tt1841118
1209,tt2041652
1210,tt23860786
1211,tt15660400
1212,tt9334812
1213,tt8366202
1214,tt2180561
1215,tt14743880
1216,tt13258236
1217,tt13662454
1218,tt13986336
1219,tt12925018
1220,tt0539126
1221,tt7763948
1222,tt6456972
1223,tt11423496
1224,tt1042838
1225,tt11740318
1226,tt22783838
1227,tt15363724
1228,tt27011676
1229,tt6539950
1230,tt0085819
1231,tt3583510
1232,tt24164696
1233,tt5826858
1234,tt1962274
1235,tt13882510
1236,tt16462894
1237,tt7351704
1238,tt1379315
1239,tt15947118
1240,tt9831294
1241,tt1347847
1242,tt0004577
1243,tt6611764
1244,tt5488132
1245,tt13577082
1246,tt9047912
1247,tt1595000
1248,tt0181547
1249,tt5385336
1250,tt9334456
1251,tt14832254
1252,tt10081800
1253,tt4446944
1254,tt1603885
1255,tt0407743
1256,tt12846330
1257,tt1336517
1258,tt23897628
1259,tt25512612
1260,tt1978139
1261,tt21914444
1262,tt8260704
1263,tt9000126
1264,tt5664346
1265,tt17161278
1266,tt0423151
1267,tt1295833
1268,tt10472950
1269,tt8798492
1270,tt0639736
1271,tt1343322
1272,tt3459130
1273,tt0413637
1274,tt13820140
1275,tt27252005
1276,tt2108776
1277,tt0572549
1278,tt0225718
1279,tt21978116
1280,tt9593468
1281,tt21288932
1282,tt6210684
1283,tt7314124
1284,tt9175610
1285,tt10596106
1286,tt27073208
1287,tt5202010
1288,tt8726038
1289,tt10445208
1290,tt14594348
1291,tt14212772
1292,tt9696472
1293,tt0604378
1294,tt5887448
1295,tt7010766
1296,tt6909412
1297,tt1349815
1298,tt1294023
1299,tt11968020
1300,tt3292164
1301,tt8801380
1302,tt11277788
1303,tt7115908
1304,tt8283506
1305,tt3147672
1306,tt13670740
1307,tt4212850
1308,tt15474944
1309,tt6624204
1310,tt21267384
1311,tt0134650
1312,tt2035704
1313,tt9142314
1314,tt3099838
1315,tt26763698
1316,tt20765146
1317,tt19818276
1318,tt2372022
1319,tt6252378
1320,tt5669972
1321,tt14124808
1322,tt15619802
1323,tt16059918
1324,tt18378802
1325,tt3939810
1326,tt0471782
1327,tt16990654
1328,tt0857248
1329,tt8761842
1330,tt19384564
1331,tt4956128
1332,tt8701112
1333,tt7395600
1334,tt14198732
1335,tt11684700
1336,tt15902262
1337,tt6086890
1338,tt4816564
1339,tt1240492
1340,tt16410476
1341,tt15668540
1342,tt12852784
1343,tt5064820
1344,tt10250908
1345,tt14396854
1346,tt1667379
1347,tt21043630
1348,tt6919332
1349,tt2408098
1350,tt0665504
1351,tt13361102
1352,tt7780370
1353,tt2420590
1354,tt1642799
1355,tt16247600
1356,tt1012321
1357,tt13492366
1358,tt0188878
1359,tt27533503
1360,tt0223171
1361,tt12187018
1362,tt3016280
1363,tt13628244
1364,tt13799956
1365,tt0391611
1366,tt4259536
1367,tt14049716
1368,tt26894654
1369,tt8053906
1370,tt12869702
1371,tt0929889
1372,tt18248486
1373,tt13338768
1374,tt0761351
1375,tt13519626
1376,tt0206156
1377,tt1588711
1378,tt27419776
1379,tt0559553
1380,tt8992526
1381,tt12201266
1382,tt4379356
1383,tt13554528
1384,tt21857204
1385,tt6645770
1386,tt18510672
1387,tt1489668
1388,tt2810040
1389,tt2037466
1390,tt22777146
1391,tt5871570
1392,tt8912086
1393,tt2417004
1394,tt16308818
1395,tt1611255
1396,tt0625037
1397,tt13348582
1398,tt11070292
1399,tt1638548
1400,tt5026404
1401,tt11230322
1402,tt2322637
1403,tt1965458
1404,tt1280503
1405,tt6793700
1406,tt13451520
1407,tt2869316
1408,tt0564641
1409,tt7798652
1410,tt1873913
1411,tt12481554
1412,tt5994128
1413,tt10542640
1414,tt6863566
1415,tt3367526
1416,tt3418606
1417,tt27262026
1418,tt3529396
1419,tt0641005
1420,tt16310282
1421,tt11628100
1422,tt1504994
1423,tt8615612
1424,tt27542951
1425,tt12024228
1426,tt14794448
1427,tt0873235
1428,tt16531338
1429,tt0973749
1430,tt10497126
1431,tt15284842
1432,tt1572836
1433,tt20122262
1434,tt26625063
1435,tt4821980
1436,tt5556206
1437,tt25154424
1438,tt11454702
1439,tt27534059
1440,tt4448132
1441,tt11036360
1442,tt1269102
1443,tt24516018
1444,tt0121371
1445,tt7359128
1446,tt16352466
1447,tt7378458
1448,tt2839758
1449,tt22267342
1450,tt2016803
1451,tt9367984
1452,tt12705864
1453,tt12519466
1454,tt10150074
1455,tt9588644
1456,tt0524042
1457,tt12254692
1458,tt8351112
1459,tt9143496
1460,tt6919744
1461,tt8952430
1462,tt17390866
1463,tt3270280
1464,tt1327698
1465,tt11677232
1466,tt0828376
1467,tt2379100
1468,tt10688694
1469,tt1080822
1470,tt1054598
1471,tt10413106
1472,tt8868716
1473,tt16625322
1474,tt13506834
1475,tt10582628
1476,tt2035802
1477,tt6779354
1478,tt8554698
1479,tt7371670
1480,tt0199005
1481,tt8598718
1482,tt14366528
1483,tt1921580
1484,tt7180032
1485,tt0150676
1486,tt16358656
1487,tt13444330
1488,tt13335570
1489,tt7972196
1490,tt14501544
1491,tt10349186
1492,tt2338697
1493,tt14675534
1494,tt7593616
1495,tt14861762
1496,tt14284268
1497,tt0352288
1498,tt15747666
1499,tt1095670
1500,tt6544330
1501,tt0040069
1502,tt11211656
1503,tt10481490
1504,tt15312932
1505,tt5584700
1506,tt1488412
1507,tt26202368
1508,tt10640150
1509,tt10284982
1510,tt1928007
1511,tt7212180
1512,tt1350970
1513,tt1895252
1514,tt6031398
1515,tt7740336
1516,tt27207639
1517,tt14231902
1518,tt0725913
1519,tt27424973
1520,tt7758462
1521,tt27197550
1522,tt5248328
1523,tt13421586
1524,tt18233466
1525,tt5414616
1526,tt12726800
1527,tt6996074
1528,tt21080464
1529,tt12442080
1530,tt14587864
1531,tt13623440
1532,tt3491678
1533,tt14886260
1534,tt21268984
1535,tt12268166
1536,tt15661416
1537,tt7042308
1538,tt6236532
1539,tt9056236
1540,tt2363249
1541,tt12161246
1542,tt1811849
1543,tt13346960
1544,tt22771620
1545,tt20873968
1546,tt3067906
1547,tt11108350
1548,tt5898750
1549,tt14334206
1550,tt6126492
1551,tt9281544
1552,tt11386262
1553,tt5307906
1554,tt15019646
1555,tt21796538
1556,tt24071652
1557,tt2630384
1558,tt14451596
1559,tt5041990
1560,tt5203504
1561,tt2347287
1562,tt12685678
1563,tt3523108
1564,tt12349196
1565,tt13297582
1566,tt7155604
1567,tt4892090
1568,tt0000604
1569,tt9086822
1570,tt23182486
1571,tt5388036
1572,tt4515442
1573,tt14621542
1574,tt4781908
1575,tt7223064
1576,tt14056130
1577,tt1420923
1578,tt9090466
1579,tt2103326
1580,tt0100235
1581,tt4581178
1582,tt5798186
1583,tt27571377
1584,tt16759880
1585,tt0049420
1586,tt26424889
1587,tt1177208
1588,tt6340296
1589,tt12128930
1590,tt7687338
1591,tt14360930
1592,tt0929949
1593,tt12009758
1594,tt14590168
1595,tt0539347
1596,tt26082008
1597,tt14351650
1598,tt9255134
1599,tt10510518
1600,tt9091556
1601,tt9047908
1602,tt15682486
1603,tt0115485
1604,tt1336028
1605,tt8625950
1606,tt1892282
1607,tt9560622
1608,tt9126492
1609,tt0647682
1610,tt9662340
1611,tt3193232
1612,tt4834836
1613,tt1691141
1614,tt10998928
1615,tt5354656
1616,tt1795524
1617,tt2862568
1618,tt14710622
1619,tt0564671
1620,tt13707436
1621,tt11942686
1622,tt4285680
1623,tt1603404
1624,tt3718152
1625,tt12152968
1626,tt0559640
1627,tt11517210
1628,tt7495450
1629,tt14144132
1630,tt13166256
1631,tt14290762
1632,tt1736078
1633,tt7765334
1634,tt5465716
1635,tt3260174
1636,tt21829012
1637,tt2010366
1638,tt9717486
1639,tt12951952
1640,tt11513690
1641,tt4105436
1642,tt16060370
1643,tt17058030
1644,tt22469420
1645,tt4574014
1646,tt13048020
1647,tt12646966
1648,tt0006768
1649,tt12279200
1650,tt1053801
1651,tt12134000
1652,tt26769085
1653,tt10837706
1654,tt15781512
1655,tt0242831
1656,tt5542520
1657,tt5723946
1658,tt15130228
1659,tt6563254
1660,tt10467012
1661,tt1800311
1662,tt7482436
1663,tt11590862
1664,tt2898538
